,,,,,,,,,,,,
Персона,Баллы,Мысль,Оффер,Доказательство - включить в оффер,"Где 
тестируем?",Боль,Эмоц.,Считыв.,Доказ.,,,
Разные сегменты,,Опытный партнёр,"Заголовок: Раздаем бизнесу бухгалтеров. 

Текст: С опытом работы в вашей нише и стажем от 3х лет. Проверено Контуром. (+добавить лого Контура крупно = Контур проверил) 


Заголовок: Раздаем бизнесу бухгалтеров. 
Текст: Стаж от 3х лет. Все отрасли бизнеса. Проверено Контуром. ",,ставим в растяжку,,,,,берем,,"делаем квиз с выбором болей ЦА на 5-7 заголовков
тестируем какая боль откликается
рассылки - поговорить с Эльбой, ДД

сначала находим заголовок - чемпион
потом крутим вокруг него механику и визуалы

"
Разные сегменты,,Работают качественно,"Закроем отчётность, пока вы занимаетесь бизнесом",Тысячи отчётов сданы за последний квартал,ставим во врезку,,,,,берем,,lovable - поставить плагин для работы с инклюзией 
Разные сегменты,,Опытный партнёр,Избавляем от беспорядка в отчетности. Бесплатный подбор бухгалтеров для бизнеса,Тысячи отчётов сданы за последний квартал,"баннеры, врезки",,,,,,,"Добавить общий ""вводный"" контекст в лавабл = дизайн гайд
для дальтоников
для дизайнеров
"
Разные сегменты,,Не обманут,"Заголовок: Бухгалтеры, проверенные Контуром 
Текст: Найдем проверенного бухгалтера для вашего бизнеса (или: подберем бесплатно)  ",,ставим в растяжку,,,,,,,
Разные сегменты,,Опытный партнёр,"Заголовок: Не знаете, что делать с налоговой реформой 26?
Текст: SOS-консультация бухгалтера ",,,,,,,,,
Разные сегменты,,Опытный партнёр,"Заголовок: Найдем профессионального бухгалтера для работы с НДС

Тексты - затестить 2 варианта:
Бухгалтеры Экстерна помогают предпринимателям готовиться к переходу на НДС
Поможем рассчитать налоги, оформить и сдать отчетность вовремя.",,,,,,,,,
Разные сегменты,79,Работают качественно,Сдадим вашу первую отчётность без штрафов. Подберем бухгалтера для бизнеса,X% отчётов сдано вовремя. 0 штрафов у новых клиентов за X мес.,,5,5,5,3,,,
Разные сегменты,80,Начать проще чем думаешь,Первый бухгалтер за 3 дня. Без предоплаты,"Среднее время подбора — 2,5 дня. Оплата после первого месяца работы",,5,4,5,5,,,
,,,,,,,,,,,,
,79,Работают качественно,Сдадим вашу первую отчётность без штрафов. Подберем бухгалтера для бизнеса,X% отчётов сдано вовремя. 0 штрафов у новых клиентов за X мес.,,5,5,5,3,,,
,79,Защитим от проблем,Первый бизнес? Поможем не нарваться на штрафы,Чек-лист для новых ИП. X пунктов проверки,,5,5,5,3,,,
,69,Освободишь время,Займитесь бизнесом — документы возьмём на себя,Клиенты экономят в среднем X часов в месяц,,4,4,5,3,,,
Начинающий ИП,67,Защитим от проблем,Проверим документы до сдачи — ошибок не будет,Двойная проверка каждого отчёта перед отправкой,,5,2,5,4,,,
Растущий предприниматель,79,Начать проще чем думаешь,Бухгалтер уволился? Найдём замену за 24 часа,Экстренный подбор: среднее время — X часов,,5,5,5,3,,,
,79,Не обманут,Гарантия Контура: не останетесь без бухгалтера,Резерв из X бухгалтеров на случай форс-мажора,,5,5,5,3,,,
,75,Не останешься один,Уволился бухгалтер? Замена за 24 часа с передачей дел,X экстренных замен за последний год,,5,5,4,3,,,
,70,Для таких как ты,"Для бизнеса с сотрудниками. Зарплаты, кадры, отчёты",Опыт работы с командами от 5 до 50 человек,,5,2,5,5,,,
,69,Для таких как ты,"Растёте быстро? Бухгалтер, который растёт с вами",X% клиентов работают с нами более 2 лет,,4,4,5,3,,,
Устойчивый бизнес,79,Начать проще чем думаешь,Главбух на аутсорсе — дешевле штатного на 40%,Сравнение: штатный главбух X ₽ vs аутсорс X ₽,,5,5,5,3,,,
,69,Не обманут,Договор с финансовой ответственностью за ошибки,Компенсация до X ₽ за доказанные ошибки бухгалтера,,4,4,5,3,,,
,67,В курсе изменений,"Реформа НДС 2026: расскажем, что изменится для вас",Вебинары и персональные консультации по реформе,,5,2,5,4,,,
,64,Начать проще чем думаешь,Бесплатный расчёт: как изменятся налоги в 2026,Персональный расчёт влияния реформы НДС за X минут,,5,2,5,3,,,
,64,Начать проще чем думаешь,Подготовим бизнес к реформе НДС за 2 недели,План перехода из X этапов. Уже подготовили X компаний,,5,2,5,3,,,
Импортёр-Экспортёр,82,Не обманут,Бухгалтеры в курсе актуальных санкционных правил,Ежедневный мониторинг санкционных списков,,5,5,5,4,,,
,79,Начать проще чем думаешь,Проверим ваши ВЭД-документы — найдём риски,Аудит ВЭД-документации за X дней,,5,5,5,3,,,
,79,Защитим от проблем,Ошибка в ВЭД = заморозка счёта. Не допустим,X% клиентов без блокировок счетов,,5,5,5,3,,,
,77,Не обманут,Ошибка в декларации? Исправим за наш счёт,Гарантия исправления ошибок по вине бухгалтера,,4,5,5,4,,,
,74,Начать проще чем думаешь,Бесплатная консультация по валютному контролю,X консультаций проведено. Без обязательств,,5,4,5,3,,,
Регулируемая отрасль,82,Не обманут,Гарантия: поможем при любой проверке,Сопровождение проверки входит в тариф,,5,5,5,4,,,
,82,Не останешься один,Проверка пришла внезапно? Поможем прямо сейчас,Горячая линия для экстренных ситуаций,,5,5,5,4,,,
,82,Не останешься один,Бухгалтер + юрист при сложных проверках,Комплексное сопровождение при необходимости,,5,5,5,4,,,
,82,В курсе изменений,"Предупредим о проверках до того, как придут",Анализ рисков плановых проверок,,5,5,5,4,,,
,79,Начать проще чем думаешь,Бесплатно проверим готовность к проверке,Чек-лист из X пунктов для вашей отрасли,,5,5,5,3,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Мысль,Оффер,Доказательство,,,,,,,,
Разные сегменты,,Освободишь время,Займитесь бизнесом — документы возьмём на себя,Клиенты экономят больше 20 часов в месяц,,,,,,,,
,,Освободишь время,Больше не нужно разбираться в отчётах самому,Полное ведение: от первички до сдачи в ФНС,,,,,,,,
,,Опытный партнёр,Бухгалтеры с опытом от 3 лет работы с ИП,Средний стаж бухгалтеров на платформе — более 3 лет,,,,,,,,
,,Работают качественно,"Закроем отчётность, пока вы занимаетесь бизнесом",X отчётов сдано за последний квартал,,,,,,,,
,,Освободишь время,Делегируйте рутину. Сосредоточьтесь на росте,Клиенты экономят X часов в месяц на бухгалтерии,,,,,,,,
,,Освободишь время,Один бухгалтер закроет все задачи по учёту,Комплексное обслуживание без привлечения других специалистов,,,,,,,,
,,Не обманут,"Заголовок: Бухгалтеры, проверенные Контуром 
Текст: Найдем проверенного бухгалтера для вашего бизнеса (или: подберем бесплатно)  ",,,,,,,,,
,,Опытный партнёр,"Бухгалтеры с опытом от трех лет, сдающие бухгалтерию без ошибок.
Мы проверили. (и где-то рядом лого Контура)

Раздаем бизнесу бухгалтеров. С опытом от трех лет и опытом работы в вашей нише. Мы проверили. (+добавить лого Контура крупно = Контур проверил) ",,,,,,,,,
,,Опытный партнёр,Избавляем от беспорядка в отчетности. Бесплатный подбор бухгалтеров для бизнеса,,,,,,,,,
Стартующий ИП,,Мысль,Оффер,Доказательство,,,,,,,,
,,Начать проще чем думаешь,Первый бухгалтер за 3 дня. Без предоплаты,"Среднее время подбора — 2,5 дня. Оплата после первого месяца работы",,,,,,,,
,,Начать проще чем думаешь,"Не знаете, нужен ли вам бухгалтер? Консультация 15 мин",Более X бесплатных консультаций в месяц. Без обязательств,,,,,,,,
,,Начать проще чем думаешь,Подберём бухгалтера под ваш бюджет — от 5000 ₽/мес,X% клиентов находят бухгалтера в рамках бюджета,,,,,,,,
,,Не обманут,Бухгалтеры проверены Контуром. Работают с ИП от 2 лет,Каждый бухгалтер прошёл проверку документов и тестовое задание,,,,,,,,
,,Не обманут,"Договор, акты, гарантия — всё официально",100% сделок с договором. Акт после каждого отчётного периода,,,,,,,,
,,Не обманут,Не подошёл бухгалтер? Заменим бесплатно,X замен в месяц. Без доплат и объяснений,,,,,,,,
,,Работают качественно,Сдадим вашу первую отчётность без штрафов,X% отчётов сдано вовремя. 0 штрафов у новых клиентов за X мес.,,,,,,,,
,,Работают качественно,Бухгалтер ответит на запрос налоговой за вас,Среднее время ответа на требование ФНС — X часов,,,,,,,,
,,Работают качественно,"Проверим, правильно ли вы платите налоги. Бесплатно",X бесплатных аудитов проведено. Средняя экономия — X ₽/мес,,,,,,,,
,,Для таких как ты,Бухгалтер для ИП на УСН. Знает вашу специфику,X% бухгалтеров специализируются на УСН,,,,,,,,
,,Для таких как ты,"Работает с маркетплейсами, самозанятыми, услугами","Опыт работы с Wildberries, Ozon, Яндекс.Маркет",,,,,,,,
,,Для таких как ты,Не грузит терминами — объясняет по-человечески,Оценка понятности от клиентов — X из 5,,,,,,,,
,,Освободишь время,Займитесь бизнесом — документы возьмём на себя,Клиенты экономят в среднем X часов в месяц,,,,,,,,
,,Освободишь время,Больше не нужно разбираться в отчётах самому,Полное ведение: от первички до сдачи в ФНС,,,,,,,,
,,Освободишь время,Бухгалтер на связи — вы просто пересылаете чеки,Связь через Telegram/WhatsApp. Ответ в течение X часов,,,,,,,,
,,Не останешься один,Бухгалтер заболел? У нас есть замена,Резервный бухгалтер подключается за X часов,,,,,,,,
,,Не останешься один,"Поддержка Контура, если что-то пойдёт не так",Линия поддержки 8-800. Среднее время ответа — X мин,,,,,,,,
,,Не останешься один,Всегда на связи — ответим в течение дня,X% сообщений получают ответ в тот же день,,,,,,,,
,,В курсе изменений,Бухгалтер сам следит за изменениями в законах,Еженедельный мониторинг изменений НК РФ,,,,,,,,
,,В курсе изменений,Предупредим о новых требованиях заранее,Уведомления за X дней до вступления изменений в силу,,,,,,,,
,,В курсе изменений,Не пропустите сроки — напомним обо всём,Автоматические напоминания о сроках сдачи отчётности,,,,,,,,
,,Защитим от проблем,Первый бизнес? Поможем не нарваться на штрафы,Чек-лист для новых ИП. X пунктов проверки,,,,,,,,
,,Защитим от проблем,Проверим документы до сдачи — ошибок не будет,Двойная проверка каждого отчёта перед отправкой,,,,,,,,
,,Защитим от проблем,Если придёт запрос из налоговой — ответим за вас,X требований ФНС обработано. X% закрыто без последствий,,,,,,,,
,,Опытный партнёр,Бухгалтеры с опытом от 2 лет работы с ИП,Средний стаж бухгалтеров на платформе — X лет,,,,,,,,
,,Опытный партнёр,Сервис Контура — компания с 30-летней историей,Контур на рынке с 1988 года. X млн пользователей,,,,,,,,
,,Опытный партнёр,Помогли X тысячам предпринимателей начать бизнес,X новых ИП обслужено за последний год,,,,,,,,
Растущий предприниматель,,Мысль,Оффер,Доказательство,,,,,,,,
,,Начать проще чем думаешь,Бухгалтер уволился? Найдём замену за 24 часа,Экстренный подбор: среднее время — X часов,,,,,,,,
,,Начать проще чем думаешь,Передадим дела от старого бухгалтера без потерь,Чек-лист передачи дел из X пунктов. Приёмка за X дней,,,,,,,,
,,Начать проще чем думаешь,"Бесплатный аудит: покажем, где переплачиваете",X аудитов проведено. Средняя найденная переплата — X ₽,,,,,,,,
,,Не обманут,Гарантия Контура: не останетесь без бухгалтера,Резерв из X бухгалтеров на случай форс-мажора,,,,,,,,
,,Не обманут,Штраф по вине бухгалтера? Компенсируем,Финансовая ответственность прописана в договоре,,,,,,,,
,,Не обманут,"Прозрачные цены — никаких доплат за ""срочность""",Фиксированная стоимость. X% клиентов без доплат,,,,,,,,
,,Работают качественно,Бухгалтер + кадровик в одном лице,X% бухгалтеров ведут кадровый учёт,,,,,,,,
,,Работают качественно,"Закроем отчётность, пока вы занимаетесь бизнесом",X отчётов сдано за последний квартал,,,,,,,,
,,Работают качественно,Оптимизируем налоги легально — экономия от 15%,Средняя экономия клиентов после оптимизации — X%,,,,,,,,
,,Для таких как ты,"Для бизнеса с сотрудниками. Зарплаты, кадры, отчёты",Опыт работы с командами от 5 до 50 человек,,,,,,,,
,,Для таких как ты,"Растёте быстро? Бухгалтер, который растёт с вами",X% клиентов работают с нами более 2 лет,,,,,,,,
,,Для таких как ты,Опыт работы с торговлей на маркетплейсах,"X клиентов на Wildberries, Ozon, Яндекс.Маркет",,,,,,,,
,,Освободишь время,"Зарплаты, отчёты, кадры — всё без вашего участия",Полный цикл: от табеля до платёжки,,,,,,,,
,,Освободишь время,Делегируйте рутину. Сосредоточьтесь на росте,Клиенты экономят X часов в месяц на бухгалтерии,,,,,,,,
,,Освободишь время,Один бухгалтер закроет все задачи по учёту,Комплексное обслуживание без привлечения других специалистов,,,,,,,,
,,Не останешься один,Бухгалтер в отпуске — работа не встанет,Замещение на время отпуска входит в тариф,,,,,,,,
,,Не останешься один,Команда Контура подстрахует в любой ситуации,Линия поддержки + резервный бухгалтер,,,,,,,,
,,Не останешься один,Уволился бухгалтер? Замена за 24 часа с передачей дел,X экстренных замен за последний год,,,,,,,,
,,В курсе изменений,"Выросли? Подскажем, когда менять систему налогов",Мониторинг лимитов УСН для каждого клиента,,,,,,,,
,,В курсе изменений,"Предупредим об изменениях до того, как станет поздно",Рассылка об изменениях за X дней,,,,,,,,
,,В курсе изменений,Бухгалтер следит за лимитами УСН за вас,Автоматический контроль приближения к лимитам,,,,,,,,
,,Защитим от проблем,Ошибки прошлого бухгалтера? Исправим и защитим,X исправлений за прошлыми бухгалтерами,,,,,,,,
,,Защитим от проблем,Подготовим к любой проверке заранее,Чек-лист готовности к проверке из X пунктов,,,,,,,,
,,Защитим от проблем,Налоговая прислала требование? Разберёмся за вас,X требований закрыто без доначислений,,,,,,,,
,,Опытный партнёр,"Работаем с растущим бизнесом — знаем, как это",X клиентов выросли с нами с 5 до 30+ сотрудников,,,,,,,,
,,Опытный партнёр,Бухгалтеры с опытом работы в компаниях от 10 чел.,Средний опыт работы с ООО — X лет,,,,,,,,
,,Опытный партнёр,"Контур — X лет на рынке, X млн клиентов",Экосистема продуктов для бизнеса любого размера,,,,,,,,
Устойчивый бизнес,,Мысль,Оффер,Доказательство,,,,,,,,
,,Начать проще чем думаешь,Главбух на аутсорсе — дешевле штатного на 40%,Сравнение: штатный главбух X ₽ vs аутсорс X ₽,,,,,,,,
,,Начать проще чем думаешь,Бесплатный расчёт: как изменятся налоги в 2026,Персональный расчёт влияния реформы НДС за X минут,,,,,,,,
,,Начать проще чем думаешь,Подготовим бизнес к реформе НДС за 2 недели,План перехода из X этапов. Уже подготовили X компаний,,,,,,,,
,,Не обманут,Договор с финансовой ответственностью за ошибки,Компенсация до X ₽ за доказанные ошибки бухгалтера,,,,,,,,
,,Не обманут,Бухгалтеры с опытом налоговых проверок,X% бухгалтеров имеют опыт сопровождения проверок,,,,,,,,
,,Не обманут,Контур отвечает за качество — репутация 30+ лет,На рынке с 1988 года. X млн клиентов доверяют,,,,,,,,
